# KOL Discovery Candidates — 2026-02-28 07:24
# handle | follower_count | times_appeared | sample_tweet

grok | 8,127,845 | 21 | Short-term: This Bloomberg report could spark positive $TSLA sentiment & volatility, as Musk empire news often lifts it 
ripster47 | 460,492 | 3 | $CRWD 🚨 Going Homerun to downside We dn't know what ultimate impact will be  but like i said ,when investors panic they 
ajtrader7 | 71,919 | 3 | Pre-Market Notes for Subscribers 02/23/2026 $CRWD SHORT 382--&gt;348 #4 $APP SHORT 400--&gt;377 #5 $DPZ SHORT 399--&gt;3
biotech2k1 | 34,351 | 4 | I have these 4 trading positions in $SNOW, $CRWD, $NET, and $DDOG. I often trade $ZS too, but didn't buy this round. I d
tenettradegroup | 30,397 | 3 | $CRWD $PANW Cyber Stocks Home Run Short Setup  Watch the video to learn how to trade this repeatable pattern 🎯  @ripster
theresa_perrin | 21,576 | 4 | $NVO we just got the signal the reversal is coming.   Just like when Cramer was telling you to sell $META at $88.  And $
mentoviax | 24,362 | 3 | $PLTR Palantir short squeeze still on-going..... we just need a green close on the weekly chart..... nothing more than t
mikelongterm | 21,985 | 3 | @Mayhem4Markets OpenAI wants to own the chips, that is why these went down. Even most of $NVDA $30B will go to buy NVDA 
marketsday | 20,444 | 3 | U.S. stock price target updates & analyst rating changes — Feb 27, 2026  Palantir Technologies ( $PLTR): UBS upgrades to
spxtrades | 19,286 | 3 | Despite my intraday trades being mostly short, my long term portfolio is fully Long. However, time to time I’d use colla
besttrader01 | 17,903 | 3 | $TSLA $AMD $NVDA $MSFT - Subscribe!  You Don't want to Miss when i Sell!  Good Luck!
tesla_archive | 16,994 | 3 | 🚨BREAKING: CATHIE WOOD REAFFIRMS $2,600 $TSLA TARGET FOR 2029  • Cathie Wood (ARK Invest) reaffirmed her bullish long-te
saraltrader | 16,951 | 3 | Saral Analyst Updates :  $HUM - Equalweight rating, Target of $176 - Barclays $ARM - Equalweight, Target cut to $176 - B
topsecretstocks | 15,043 | 3 | It's was the exactly same pattern with $AMZN $NVDA $NFLX. Many times they were called "dead soon" in their early days.  
stockmarketmcro | 14,422 | 3 | MOC $TSLA record buyers  $NVDA record buyers $AAPL record sellers   @tim_cook $MSFT record buyers  Is Billy Goat @BillGa
